plate,well,control,gene_symbol,score_k_corr_perc_mean_HCT116,score_k_corr_perc_mean_RPE1,score_spots_number_mean_HCT116,score_spots_number_mean_RPE1,score_area_mean_HCT116,score_area_mean_RPE1,score_cell_n_HCT116,score_cell_n_RPE1,score_radial_dist_mean_mean_HCT116,score_radial_dist_mean_mean_RPE1,raw_repeat_1_area_mean_HCT116,raw_repeat_1_area_mean_RPE1,raw_repeat_1_cell_n_HCT116,raw_repeat_1_cell_n_RPE1,raw_repeat_1_k_corr_perc_mean_HCT116,raw_repeat_1_k_corr_perc_mean_RPE1,raw_repeat_1_radial_dist_mean_mean_HCT116,raw_repeat_1_radial_dist_mean_mean_RPE1,raw_repeat_1_spots_number_mean_HCT116,raw_repeat_1_spots_number_mean_RPE1,raw_repeat_2_area_mean_HCT116,raw_repeat_2_area_mean_RPE1,raw_repeat_2_cell_n_HCT116,raw_repeat_2_cell_n_RPE1,raw_repeat_2_k_corr_perc_mean_HCT116,raw_repeat_2_k_corr_perc_mean_RPE1,raw_repeat_2_radial_dist_mean_mean_HCT116,raw_repeat_2_radial_dist_mean_mean_RPE1,raw_repeat_2_spots_number_mean_HCT116,raw_repeat_2_spots_number_mean_RPE1,ratio_repeat_1_area_mean_HCT116,ratio_repeat_1_area_mean_RPE1,ratio_repeat_1_cell_n_HCT116,ratio_repeat_1_cell_n_RPE1,ratio_repeat_1_k_corr_perc_mean_HCT116,ratio_repeat_1_k_corr_perc_mean_RPE1,ratio_repeat_1_radial_dist_mean_mean_HCT116,ratio_repeat_1_radial_dist_mean_mean_RPE1,ratio_repeat_1_spots_number_mean_HCT116,ratio_repeat_1_spots_number_mean_RPE1,ratio_repeat_2_area_mean_HCT116,ratio_repeat_2_area_mean_RPE1,ratio_repeat_2_cell_n_HCT116,ratio_repeat_2_cell_n_RPE1,ratio_repeat_2_k_corr_perc_mean_HCT116,ratio_repeat_2_k_corr_perc_mean_RPE1,ratio_repeat_2_radial_dist_mean_mean_HCT116,ratio_repeat_2_radial_dist_mean_mean_RPE1,ratio_repeat_2_spots_number_mean_HCT116,ratio_repeat_2_spots_number_mean_RPE1,norm_repeat1_area_mean_HCT116,norm_repeat1_area_mean_RPE1,norm_repeat1_cell_n_HCT116,norm_repeat1_cell_n_RPE1,norm_repeat1_k_corr_perc_mean_HCT116,norm_repeat1_k_corr_perc_mean_RPE1,norm_repeat1_radial_dist_mean_mean_HCT116,norm_repeat1_radial_dist_mean_mean_RPE1,norm_repeat1_spots_number_mean_HCT116,norm_repeat1_spots_number_mean_RPE1,norm_repeat2_area_mean_HCT116,norm_repeat2_area_mean_RPE1,norm_repeat2_cell_n_HCT116,norm_repeat2_cell_n_RPE1,norm_repeat2_k_corr_perc_mean_HCT116,norm_repeat2_k_corr_perc_mean_RPE1,norm_repeat2_radial_dist_mean_mean_HCT116,norm_repeat2_radial_dist_mean_mean_RPE1,norm_repeat2_spots_number_mean_HCT116,norm_repeat2_spots_number_mean_RPE1,sd_cell_n_HCT116,sd_cell_n_RPE1,sd_k_area_mean_HCT116,sd_k_area_mean_RPE1,sd_k_corr_perc_mean_HCT116,sd_k_corr_perc_mean_RPE1,sd_radial_dist_mean_mean_HCT116,sd_radial_dist_mean_mean_RPE1,sd_spots_number_mean_HCT116,sd_spots_number_mean_RPE1
3,M09,sample,NCAPD3,14.96,11.61,-8.9,-16.59,0.57,0.22,0.08,-0.92,-12.33,-10.04,125.267957770139,181.566823548038,751,306,70.0785619174434,71.9820261437908,0.480536683118383,0.457264556354857,29.4860186418109,19.5882352941176,123.08960791131,167.467530485118,1051,677,78.8739295908659,60.9704579025111,0.431172007986443,0.468686743733644,23.6898192197907,21.8419497784343,1,1.02,0.962,0.794,1.23,1.37,0.916,0.897,0.817,0.6,1.01,0.988,1.19,0.872,1.32,1.63,0.855,0.879,0.717,0.696,0.129,0.206,-0.243,-0.568,11.006,9.023,-8.682,-6.906,-6.943,-15.667,1.019,0.242,0.406,-1.281,18.915,14.195,-15.979,-13.18,-10.865,-17.504,0.45891230099006936,0.5041671349860084,0.6293250352560272,0.02545584412271571,5.592507532404404,3.657156272296824,5.159758182318236,4.4363879451644,2.77327279581364,1.298955157039689
4,J17,sample,NCAPH2,13.68,9.29,-8.15,-8.14,0.54,1.05,-0.26,-0.12,-10.08,-8.79,124.775783352534,166.255820282322,526,148,74.5142585551331,68.5743243243243,0.464844069126515,0.491238081145119,24.7604562737643,22.1081081081081,125.976719875185,184.16874176313,1012,634,77.0316205533596,63.23738170347,0.431352979287542,0.457793239011292,24.9792490118577,22.9889589905363,1,0.998,0.673,0.632,1.29,1.29,0.896,0.953,0.736,0.697,1.04,1.08,1.08,0.83,1.31,1.67,0.85,0.861,0.758,0.726,0,0.487,-0.77,-0.21,13.036,5.403,-8.84,-2.696,-7.3,-5.362,1.075,1.609,0.257,-0.025,14.316,13.182,-11.329,-14.885,-9.002,-10.911,0.7261986642785844,0.1308147545195113,0.7601397897755385,0.7933738084913063,0.9050966799187816,5.500583650850154,1.7599887783733172,8.618924555882828,1.2034957415795045,3.923735528804152
4,B10,sample,MTBP,4.7,5.03,-2.64,-6.56,8.94,6.06,-1.09,-2.79,-1.72,-0.16,161.306435187819,193.909399965604,560,94,63.9473214285714,56.8989361702128,0.50602534485576,0.541877692188738,29.9035714285714,22.8404255319149,161.168524642023,229.666680561688,778,362,65.6439588688946,50.1698895027624,0.500148474088995,0.521618135260743,30.1825192802057,26.5082872928177,1.29,1.16,0.717,0.402,1.11,1.07,0.976,1.05,0.889,0.72,1.33,1.35,0.827,0.474,1.11,1.33,0.986,0.981,0.916,0.837,9.265,2.464,-1.18,-1.115,3.801,1.976,-1.63,2.159,-2.128,-5.766,8.621,9.658,-0.994,-4.466,5.607,8.075,-1.813,-2.486,-3.158,-7.356,0.1315218613006978,2.3695148237561208,0.4553767670841367,5.086926183856023,1.277034846822905,4.3126442584567535,0.12940054095713824,3.284510998611513,0.7283199846221439,1.1242997820866103
2,I18,sample,CHAF1B,4.36,4.66,-1.14,-0.57,3.38,2.57,0.47,-0.3,-3.83,-3.18,135.938887757391,186.420577673959,730,234,62.3582191780822,61.3183760683761,0.503425617666402,0.500657516169494,35.1328767123288,30.3418803418803,135.01034668159,172.691596607447,879,816,65.2866894197952,44.0753676470588,0.474793029053745,0.513904117043044,32.1478953356086,31.8455882352941,1.11,1.06,0.906,0.605,1.09,1.19,0.965,0.982,0.983,0.939,1.11,1.04,1.1,0.94,1.1,1.2,0.94,0.962,0.986,1,2.827,2.644,-0.093,-0.28,3.793,4.615,-2.795,-1.607,-1.589,-1.57,3.928,2.495,1.028,-0.314,4.921,4.707,-4.868,-4.748,-0.689,0.433,0.7926667017101198,0.02404163056034259,0.7785245660863888,0.1053589103967956,0.7976164491784257,0.06505382386916211,1.4658323573997132,2.221022399706946,0.6363961030678927,1.4163348827166549
3,C10,sample,TICRR,4.32,2.63,-5.2,-12.5,16.85,8.1,-3.69,-2.22,2.64,0.62,175.805200223247,213.531387033702,362,115,61.171270718232,53.404347826087,0.542486220744604,0.524577972455057,30.2569060773481,19.0869565217391,177.810905666506,228.099556464292,381,403,65.492125984252,43.9466501240695,0.517168014054248,0.535564194063065,27.2965879265092,26.3250620347395,1.41,1.2,0.464,0.298,1.07,1.02,1.03,1.03,0.838,0.585,1.45,1.35,0.432,0.519,1.1,1.18,1.03,1,0.826,0.839,15.342,5.622,-3.698,-1.456,3.255,0.385,2.827,0.998,-3.898,-16.053,18.36,10.57,-3.679,-2.986,5.38,4.877,2.461,0.25,-6.499,-8.942,0.01343502884254449,1.081873375215418,2.1340482656209994,3.4987643533110377,1.5026019100214134,3.176323661089971,0.2588010819142765,0.5289158723275376,1.8391847378662096,5.02823632101754
2,F08,sample,CHAF1A,4.21,4.84,-0.51,-0.48,6.98,2.55,-1.55,-0.33,-3.71,-1.91,147.459523800033,199.832389787579,486,392,58.798353909465,57.8966836734694,0.51160400289072006,0.503651526250964,36.4835390946502,30.9209183673469,146.802337157316,176.374333302086,653,754,64.8246554364472,43.7015915119363,0.48365929675368,0.519690992300087,31.5696784073507,31.2214854111406,1.2,1.14,0.603,1.01,1.02,1.12,0.981,0.988,1.02,0.957,1.21,1.06,0.82,0.868,1.09,1.19,0.957,0.973,0.968,0.983,7.225,2.937,-2.903,0.342,1.853,4.51,-2.571,-0.847,-0.036,-0.841,6.727,2.154,-0.199,-0.998,6.576,5.168,-4.84,-2.974,-0.979,-0.124,1.9120167363284244,0.9475230867899735,0.3521391770309002,0.5536646096690666,3.3396653275440635,0.4652762620207485,1.604425286512276,1.5040161235837868,0.6668016946589143,0.5069955621107546
2,C10,sample,HNRNPC,2.97,2.53,-1.31,-2.91,10.15,-0.68,-1.94,-0.83,-2.99,-0.99,149.388992592488,171.5319403026,506,269,59.1264822134387,55.7509293680297,0.510244633364975,0.508154538063563,33.397233201581,29.7732342007435,161.757386067533,168.113693850684,593,822,62.8532883642496,37.8947688564477,0.485166106893995,0.530897131926562,31.3844856661046,30.6386861313869,1.22,0.979,0.628,0.695,1.03,1.08,0.978,0.996,0.934,0.921,1.33,1.02,0.745,0.946,1.06,1.03,0.96,0.994,0.962,0.964,8.03,-1.134,-2.704,-1.453,1.542,3.378,-2.345,-0.657,-1.198,-3.442,12.272,-0.224,-1.177,-0.199,4.396,1.679,-3.638,-1.316,-1.416,-2.381,1.0797520548718582,0.8867119036079306,2.999546965793335,0.6434671708797581,2.0180827535064068,1.2013744212359443,0.9142890680742056,0.46598336880193486,0.15414927829866734,0.7502402948389272
2,B03,sample,PCNA,2.82,4.28,-4.28,-4.47,10.76,5.07,-2.18,-3,1.72,-0.23,164.308535942148,220.544481777909,398,200,62.8115577889447,58.9,0.508575716322098,0.510840283301098,27.3492462311558,28.635,152.051158280026,185.384821420666,566,677,64.3701413427562,45.2991137370753,0.522942969318928,0.528501612604785,26.7226148409894,30.2821270310192,1.34,1.26,0.494,0.517,1.09,1.14,0.975,1,0.765,0.886,1.25,1.12,0.711,0.78,1.09,1.23,1.04,0.989,0.819,0.953,13.09,5.036,-3.158,-2.929,1.53,2.846,-0.215,0.958,-2.339,-4.824,8.435,5.113,-1.192,-3.073,4.116,5.715,3.649,-1.423,-6.229,-4.112,1.3901719318127523,0.10182337649086293,3.2915820664233784,0.05444722215136476,1.8285781361484117,2.0286893552242047,2.73226060250482,1.6836212460051698,2.75064537881567,0.5034600282048216
3,L10,sample,KMT5A,2.72,-0.4,-2.99,-5.02,12.89,2.62,-2.52,-0.12,-0.15,0.32,166.465064787234,198.925038465828,433,229,58.1258660508083,50.7096069868996,0.536002321254978,0.52423210025122,35.0184757505774,26.8122270742358,163.507083257998,178.327675313287,567,739,62.8800705467372,34.0622462787551,0.499490938599573,0.532571311888534,29.2416225749559,29.362652232747,1.33,1.12,0.555,0.594,1.02,0.968,1.02,1.03,0.97,0.821,1.34,1.05,0.644,0.952,1.05,0.912,0.991,0.999,0.885,0.936,12.203,4.202,-2.71,-0.39,1.86,-0.365,1.155,1.263,-1.93,-6.165,13.584,1.039,-2.327,0.146,3.585,-0.44,-1.459,-0.629,-4.059,-3.881,0.2708218971944477,0.3790092347159895,0.9765144648186224,2.23657874889305,1.2197591975467943,0.05303300858899107,1.8483771260216353,1.337846030004948,1.5054303371461597,1.6150318882300747
2,O06,sample,UHRF1,2.66,0.27,0.28,-4.03,1.61,0.11,0.4,-0.06,-0.77,-3.06,121.891781654084,172.744794464663,790,409,59.020253164557,52.8911980440098,0.525259404943027,0.464173301105373,37.6632911392405,29.0562347188264,127.364007045017,165.572565428872,889,900,62.689538807649,39.8961111111111,0.496558956013263,0.528236795079025,33.177727784027,31.17,0.994,0.986,0.981,1.06,1.03,1.02,1.01,0.91,1.05,0.899,1.05,1,1.12,1.04,1.06,1.09,0.983,0.989,1.02,0.981,0.414,0.172,0.241,-0.128,1.601,-0.55,-0.096,-6.114,0.009,-5.234,2.81,0.04,0.554,0.007,3.719,1.085,-1.453,-0.016,0.551,-2.825,0.2213244225113894,0.09545941546018392,1.694227847722968,0.09333809511662426,1.4976521625531076,1.1561195872400052,0.9595439020701452,4.311937151675567,0.3832518754031088,1.703420235878393
