plate,well,control,gene_symbol,score_k_corr_perc_mean_HCT116,score_k_corr_perc_mean_RPE1,score_spots_number_mean_HCT116,score_spots_number_mean_RPE1,score_area_mean_HCT116,score_area_mean_RPE1,score_cell_n_HCT116,score_cell_n_RPE1,score_radial_dist_mean_mean_HCT116,score_radial_dist_mean_mean_RPE1,raw_repeat_1_area_mean_HCT116,raw_repeat_1_area_mean_RPE1,raw_repeat_1_cell_n_HCT116,raw_repeat_1_cell_n_RPE1,raw_repeat_1_k_corr_perc_mean_HCT116,raw_repeat_1_k_corr_perc_mean_RPE1,raw_repeat_1_radial_dist_mean_mean_HCT116,raw_repeat_1_radial_dist_mean_mean_RPE1,raw_repeat_1_spots_number_mean_HCT116,raw_repeat_1_spots_number_mean_RPE1,raw_repeat_2_area_mean_HCT116,raw_repeat_2_area_mean_RPE1,raw_repeat_2_cell_n_HCT116,raw_repeat_2_cell_n_RPE1,raw_repeat_2_k_corr_perc_mean_HCT116,raw_repeat_2_k_corr_perc_mean_RPE1,raw_repeat_2_radial_dist_mean_mean_HCT116,raw_repeat_2_radial_dist_mean_mean_RPE1,raw_repeat_2_spots_number_mean_HCT116,raw_repeat_2_spots_number_mean_RPE1,ratio_repeat_1_area_mean_HCT116,ratio_repeat_1_area_mean_RPE1,ratio_repeat_1_cell_n_HCT116,ratio_repeat_1_cell_n_RPE1,ratio_repeat_1_k_corr_perc_mean_HCT116,ratio_repeat_1_k_corr_perc_mean_RPE1,ratio_repeat_1_radial_dist_mean_mean_HCT116,ratio_repeat_1_radial_dist_mean_mean_RPE1,ratio_repeat_1_spots_number_mean_HCT116,ratio_repeat_1_spots_number_mean_RPE1,ratio_repeat_2_area_mean_HCT116,ratio_repeat_2_area_mean_RPE1,ratio_repeat_2_cell_n_HCT116,ratio_repeat_2_cell_n_RPE1,ratio_repeat_2_k_corr_perc_mean_HCT116,ratio_repeat_2_k_corr_perc_mean_RPE1,ratio_repeat_2_radial_dist_mean_mean_HCT116,ratio_repeat_2_radial_dist_mean_mean_RPE1,ratio_repeat_2_spots_number_mean_HCT116,ratio_repeat_2_spots_number_mean_RPE1,norm_repeat1_area_mean_HCT116,norm_repeat1_area_mean_RPE1,norm_repeat1_cell_n_HCT116,norm_repeat1_cell_n_RPE1,norm_repeat1_k_corr_perc_mean_HCT116,norm_repeat1_k_corr_perc_mean_RPE1,norm_repeat1_radial_dist_mean_mean_HCT116,norm_repeat1_radial_dist_mean_mean_RPE1,norm_repeat1_spots_number_mean_HCT116,norm_repeat1_spots_number_mean_RPE1,norm_repeat2_area_mean_HCT116,norm_repeat2_area_mean_RPE1,norm_repeat2_cell_n_HCT116,norm_repeat2_cell_n_RPE1,norm_repeat2_k_corr_perc_mean_HCT116,norm_repeat2_k_corr_perc_mean_RPE1,norm_repeat2_radial_dist_mean_mean_HCT116,norm_repeat2_radial_dist_mean_mean_RPE1,norm_repeat2_spots_number_mean_HCT116,norm_repeat2_spots_number_mean_RPE1,sd_cell_n_HCT116,sd_cell_n_RPE1,sd_k_area_mean_HCT116,sd_k_area_mean_RPE1,sd_k_corr_perc_mean_HCT116,sd_k_corr_perc_mean_RPE1,sd_radial_dist_mean_mean_HCT116,sd_radial_dist_mean_mean_RPE1,sd_spots_number_mean_HCT116,sd_spots_number_mean_RPE1
3,M09,sample,NCAPD3,14.96,11.61,-8.9,-16.59,0.57,0.22,0.08,-0.92,-12.33,-10.04,125.267957770139,181.566823548038,751,306,70.0785619174434,71.9820261437908,0.480536683118383,0.457264556354857,29.4860186418109,19.5882352941176,123.08960791131,167.467530485118,1051,677,78.8739295908658,60.9704579025111,0.431172007986443,0.468686743733644,23.6898192197907,21.8419497784343,1,1.02,0.962,0.794,1.23,1.37,0.916,0.897,0.817,0.6,1.01,0.988,1.19,0.872,1.32,1.63,0.855,0.879,0.717,0.696,0.129,0.206,-0.243,-0.568,11.006,9.023,-8.682,-6.906,-6.943,-15.667,1.019,0.242,0.406,-1.281,18.915,14.195,-15.979,-13.18,-10.865,-17.504,0.45891230099006936,0.5041671349860084,0.6293250352560272,0.02545584412271571,5.592507532404404,3.657156272296824,5.159758182318237,4.436387945164399,2.77327279581364,1.298955157039689
4,J17,sample,NCAPH2,13.68,9.29,-8.15,-8.14,0.54,1.05,-0.26,-0.12,-10.08,-8.79,124.775783352534,166.255820282322,526,148,74.5142585551331,68.5743243243243,0.464844069126515,0.491238081145119,24.7604562737643,22.1081081081081,125.976719875185,184.16874176313,1012,634,77.0316205533597,63.23738170347,0.431352979287542,0.457793239011292,24.9792490118577,22.9889589905363,1,0.998,0.673,0.632,1.29,1.29,0.896,0.953,0.736,0.697,1.04,1.08,1.08,0.83,1.31,1.67,0.85,0.861,0.758,0.726,0,0.487,-0.77,-0.21,13.036,5.403,-8.84,-2.696,-7.3,-5.362,1.075,1.609,0.257,-0.025,14.316,13.182,-11.329,-14.885,-9.002,-10.911,0.7261986642785844,0.1308147545195113,0.7601397897755385,0.7933738084913063,0.9050966799187816,5.500583650850154,1.7599887783733172,8.618924555882828,1.2034957415795045,3.923735528804152
1,B21,sample,LBR,5.1,1.27,-0.46,-0.57,-0.52,-1.51,0.39,0.18,-2.35,-0.49,114.027313256784,170.583900491633,1214,387,63.2166392092257,58.1136950904393,0.497694568674436,0.505133663199558,30.4859967051071,31.9948320413437,111.684206966343,161.190593209468,102,915,67.5294117647059,42.0071038251366,0.480051155793027,0.53107969679533,29.9803921568627,31.0218579234973,0.93,0.944,1.46,1.12,1.07,1.09,0.973,0.991,0.927,0.994,0.976,0.953,0.293,1.11,1.14,1.13,0.956,0.99,0.963,0.983,-1.037,-0.903,2.027,-0.085,4.832,1.714,-3.012,-0.112,-0.459,-0.641,-0.002,-2.125,-1.24,0.441,5.377,0.836,-1.689,-0.865,-0.46,-0.497,2.310117854136451,0.371938166904124,0.7318555185280766,0.8640844866099611,0.38537319574666834,0.6208397538817887,0.9355022715098024,0.5324514062334703,7.071067811865482e-4,0.10182337649086286
4,B10,sample,MTBP,4.7,5.03,-2.64,-6.56,8.94,6.06,-1.09,-2.79,-1.72,-0.16,161.306435187819,193.909399965604,560,94,63.9473214285714,56.8989361702128,0.50602534485576,0.541877692188738,29.9035714285714,22.8404255319149,161.168524642023,229.666680561688,778,362,65.6439588688946,50.1698895027624,0.500148474088995,0.521618135260743,30.1825192802057,26.5082872928177,1.29,1.16,0.717,0.402,1.11,1.07,0.976,1.05,0.889,0.72,1.33,1.35,0.827,0.474,1.11,1.33,0.986,0.981,0.916,0.837,9.265,2.464,-1.18,-1.115,3.801,1.976,-1.63,2.159,-2.128,-5.766,8.621,9.658,-0.994,-4.466,5.607,8.075,-1.813,-2.486,-3.158,-7.356,0.1315218613006978,2.3695148237561208,0.4553767670841367,5.086926183856023,1.277034846822905,4.312644258456753,0.12940054095713824,3.2845109986115135,0.7283199846221438,1.1242997820866103
2,I18,sample,CHAF1B,4.36,4.66,-1.14,-0.57,3.38,2.57,0.47,-0.3,-3.83,-3.18,135.938887757391,186.420577673959,730,234,62.3582191780822,61.3183760683761,0.503425617666402,0.500657516169494,35.1328767123288,30.3418803418803,135.01034668159,172.691596607447,879,816,65.2866894197952,44.0753676470588,0.474793029053745,0.513904117043044,32.1478953356086,31.8455882352941,1.11,1.06,0.906,0.605,1.09,1.19,0.965,0.982,0.983,0.939,1.11,1.04,1.1,0.94,1.1,1.2,0.94,0.962,0.986,1,2.827,2.644,-0.093,-0.28,3.793,4.615,-2.795,-1.607,-1.589,-1.57,3.928,2.495,1.028,-0.314,4.921,4.707,-4.868,-4.748,-0.689,0.433,0.7926667017101198,0.02404163056034259,0.7785245660863888,0.1053589103967956,0.7976164491784257,0.06505382386916211,1.4658323573997132,2.221022399706946,0.6363961030678927,1.4163348827166546
3,C10,sample,TICRR,4.32,2.63,-5.2,-12.5,16.85,8.1,-3.69,-2.22,2.64,0.62,175.805200223247,213.531387033702,362,115,61.171270718232,53.404347826087,0.542486220744604,0.524577972455057,30.2569060773481,19.0869565217391,177.810905666506,228.099556464292,381,403,65.492125984252,43.9466501240695,0.517168014054248,0.535564194063065,27.2965879265092,26.3250620347395,1.41,1.2,0.464,0.298,1.07,1.02,1.03,1.03,0.838,0.585,1.45,1.35,0.432,0.519,1.1,1.18,1.03,1,0.826,0.839,15.342,5.622,-3.698,-1.456,3.255,0.385,2.827,0.998,-3.898,-16.053,18.36,10.57,-3.679,-2.986,5.38,4.877,2.461,0.25,-6.499,-8.942,0.01343502884254449,1.081873375215418,2.1340482656209994,3.4987643533110377,1.5026019100214134,3.176323661089971,0.2588010819142765,0.5289158723275376,1.8391847378662096,5.02823632101754
2,F08,sample,CHAF1A,4.21,4.84,-0.51,-0.48,6.98,2.55,-1.55,-0.33,-3.71,-1.91,147.459523800033,199.832389787579,486,392,58.798353909465,57.8966836734694,0.51160400289072006,0.503651526250964,36.4835390946502,30.9209183673469,146.802337157316,176.374333302086,653,754,64.8246554364472,43.7015915119363,0.48365929675368,0.519690992300087,31.5696784073507,31.2214854111406,1.2,1.14,0.603,1.01,1.02,1.12,0.981,0.988,1.02,0.957,1.21,1.06,0.82,0.868,1.09,1.19,0.957,0.973,0.968,0.983,7.225,2.937,-2.903,0.342,1.853,4.51,-2.571,-0.847,-0.036,-0.841,6.727,2.154,-0.199,-0.998,6.576,5.168,-4.84,-2.974,-0.979,-0.124,1.9120167363284244,0.9475230867899735,0.3521391770309002,0.5536646096690666,3.3396653275440635,0.4652762620207485,1.604425286512276,1.5040161235837868,0.6668016946589143,0.5069955621107546
2,C03,sample,BRMS1L,3.88,1.26,-1.41,-0.53,-0.02,0.95,0.09,-0.53,-2.18,-0.34,120.366405600948,186.171893531514,620,342,64.2096774193548,52.7704678362573,0.498647607849975,0.509719602714143,30.2,31.3888888888889,124.96266269737,173.344559904267,730,749,63.3232876712329,39.7383177570093,0.497484511130015,0.528749019602642,30.6095890410959,31.6995994659546,0.981,1.06,0.77,0.884,1.12,1.02,0.956,0.999,0.845,0.971,1.03,1.05,0.917,0.862,1.07,1.08,0.985,0.99,0.938,0.998,-0.014,0.363,-0.07,0.183,3.73,-0.018,-3.103,0.268,-0.945,-1.086,-0.022,1.537,0.258,-1.239,4.04,2.533,-1.261,-0.954,-1.882,0.033,0.2319310242291876,1.0055058428472707,0.00565685424949237,0.8301433611130068,0.21920310216782976,1.8038293988068823,1.3024906909456206,0.8640844866099611,0.662559053971795,0.7912524881477467
2,C10,sample,HNRNPC,2.97,2.53,-1.31,-2.91,10.15,-0.68,-1.94,-0.83,-2.99,-0.99,149.388992592488,171.5319403026,506,269,59.1264822134387,55.7509293680297,0.510244633364975,0.508154538063563,33.397233201581,29.7732342007435,161.757386067533,168.113693850684,593,822,62.8532883642496,37.8947688564477,0.485166106893995,0.530897131926562,31.3844856661046,30.6386861313869,1.22,0.979,0.628,0.695,1.03,1.08,0.978,0.996,0.934,0.921,1.33,1.02,0.745,0.946,1.06,1.03,0.96,0.994,0.962,0.964,8.03,-1.134,-2.704,-1.453,1.542,3.378,-2.345,-0.657,-1.198,-3.442,12.272,-0.224,-1.177,-0.199,4.396,1.679,-3.638,-1.316,-1.416,-2.381,1.0797520548718582,0.8867119036079306,2.999546965793335,0.6434671708797581,2.0180827535064068,1.2013744212359443,0.9142890680742056,0.46598336880193486,0.15414927829866734,0.7502402948389272
2,B08,sample,LEMD2,2.93,0.42,-0.39,0.14,-0.22,1.06,1.6,-0.7,-1.99,0.75,122.501169549028,189.388992045907,1009,385,59.6501486620416,52.6376623376623,0.510301711096156,0.514930699602479,34.1060455896928,32.9090909090909,123.106603932943,168.845930126954,1090,843,62.8211009174312,36.5948991696323,0.500032225075225,0.535892108453397,31.9834862385321,32.1174377224199,0.999,1.08,1.25,0.995,1.04,1.02,0.979,1.01,0.954,1.02,1.02,1.02,1.37,0.971,1.06,0.997,0.99,1,0.98,1.01,-0.346,1.227,0.672,-0.563,1.64,0.764,-2.148,1.388,-0.151,0.529,-0.096,0.901,2.52,-0.839,4.218,0.067,-1.834,0.122,-0.631,-0.242,1.30673333163274,0.19516147160748712,0.1767766952966369,0.23051681066681456,1.8229212818989196,0.4928534264870236,0.22203152929257597,0.8951971849821692,0.33941125496954283,0.5451793282948282
